,Video.ID,URL,answer,question,Caption,Transcript,Text
14,_therealyana-32500-11,https://www.tiktok.com/@_therealyana/video/7091043793637707054,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,"Reply to @cleaning_with_halo Some prefer sink water, but personally I’d rather distilled water for my son 😊 #babywater #fyp #formulafed #formulafedandthriving #momsoftiktok #relateable #momlife","So this is the water that I use for his formula bottles. It's only a dollar at Walmart. You can get it from Target or any grocery store as well. And if I don't have water, then I just use a regular water bottle.","Reply to @cleaning_with_halo Some prefer sink water, but personally I’d rather distilled water for my son 😊 #babywater #fyp #formulafed #formulafedandthriving #momsoftiktok #relateable #momlife So this is the water that I use for his formula bottles. It's only a dollar at Walmart. You can get it from Target or any grocery store as well. And if I don't have water, then I just use a regular water bottle."
15,_trania-1619-53,https://www.tiktok.com/@_trania/video/7279823401886190890,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Pump with me at work✨ #breastfeed #milksupply #momsoftiktok #babytok #pumpingmom #pumpingatwork #breastfeedingworkingmom #baby #pumpingbelike #momlife #fyp #breastmilkisthebestmilk #foryou #feedthatbaby #liquidgold #momof2 #breastfeed #normalizebreastfeeding🤱🏻 #momswhobreastfeed ,Pump session at work. Six ounces probably would have been more. I spilled a decent amount on my shirt and pants.,Pump with me at work✨ #breastfeed #milksupply #momsoftiktok #babytok #pumpingmom #pumpingatwork #breastfeedingworkingmom #baby #pumpingbelike #momlife #fyp #breastmilkisthebestmilk #foryou #feedthatbaby #liquidgold #momof2 #breastfeed #normalizebreastfeeding🤱🏻 #momswhobreastfeed  Pump session at work. Six ounces probably would have been more. I spilled a decent amount on my shirt and pants.
17,1.monicae-2686-31,https://www.tiktok.com/@1.monicae/video/7163980855550020906,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Day in the life of a breast feeding mom🍼✨💞.. Daily Pump Session at Work #phillytiktok #fyp #breastfeedingtok #breastfeedingtiktokmom #breastmilk #spectrapump #pumpingatwork #foryoupage ,NA,Day in the life of a breast feeding mom🍼✨💞.. Daily Pump Session at Work #phillytiktok #fyp #breastfeedingtok #breastfeedingtiktokmom #breastmilk #spectrapump #pumpingatwork #foryoupage 
18,1742341mc888-416-12,https://www.tiktok.com/@1742341mc888/video/7214389437923478810,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,😘😘😘 Still drinking from a dirty bottle? Usethis to wash every corner of your bottleEspecially kids milk bottle! #carrotbrus#3in1carrotbrush #bottlebrush#cleaningbrush#bottlecleaningessentials#bottlecleaninghack #babybottle#babybottlecleaning #milkbottle#waterbottlecleaning #kidsbottle#cleaningbrush #1742341mc #fypシ💕 ,NA,😘😘😘 Still drinking from a dirty bottle? Usethis to wash every corner of your bottleEspecially kids milk bottle! #carrotbrus#3in1carrotbrush #bottlebrush#cleaningbrush#bottlecleaningessentials#bottlecleaninghack #babybottle#babybottlecleaning #milkbottle#waterbottlecleaning #kidsbottle#cleaningbrush #1742341mc #fypシ💕 
20,adamson_pegan-360-20,https://www.tiktok.com/@adamson_pegan/video/7211568711713492266,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,These hakkas are the best things i ever bought. If your breastfeeding i 100% reccomend. #breastfeedingtok #breastfeedingjourney #milkstoragetips #maternity #postpartum #sahmlife ,NA,These hakkas are the best things i ever bought. If your breastfeeding i 100% reccomend. #breastfeedingtok #breastfeedingjourney #milkstoragetips #maternity #postpartum #sahmlife 
22,aiiivs-4622-114,https://www.tiktok.com/@aiiivs/video/7337754921468497157,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Cleaning baby bottles and using my fave products 👶🏻🍼 #feedingbottle #unilovefeedingbottlecleanser #unilove #waterdispenserpump #organizer #flipcabinet #bebetafeedingbottles #sterilizerbottle #fypシ ,NA,Cleaning baby bottles and using my fave products 👶🏻🍼 #feedingbottle #unilovefeedingbottlecleanser #unilove #waterdispenserpump #organizer #flipcabinet #bebetafeedingbottles #sterilizerbottle #fypシ 
23,akielah_cozy-1515-59,https://www.tiktok.com/@akielah_cozy/video/7145546948148251910,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,"just a quick bottle prep video 🤷🏻‍♀️ i wanna do more mom content - like vlogs , routines, prep , etc. lemme know what yall wanna see ? ✨#UnleashYourSoulSister #tiktoksouthafrica #akielah_cozy #firsttimemom #momsoftiktok #momtok #momlife #nightprep #momroutines #girlmom #momslife ",NA,"just a quick bottle prep video 🤷🏻‍♀️ i wanna do more mom content - like vlogs , routines, prep , etc. lemme know what yall wanna see ? ✨#UnleashYourSoulSister #tiktoksouthafrica #akielah_cozy #firsttimemom #momsoftiktok #momtok #momlife #nightprep #momroutines #girlmom #momslife "
25,alexiabreceda-1403-59,https://www.tiktok.com/@alexiabreceda/video/7302146199849782574,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Back to work ☹️ ehat wearable pumps do you guys like? I could get a better one #backtoworkaftermaternityleave #pumpingatwork #pumpingmama #breastmilk ,"Hey, y'all, pump with me. I just came back to work yesterday after being out for two months. It was really hard leaving my baby. But you gotta do what you gotta do. This life sucks. But I'm working at three or four different middle schools, so I had to invest in some wearable pumps because I do not want to be pumping in, like, the teachers lounge or anything like that and somebody walk in and, like, you know, I don't want to be asking for a room, like being doing too much. So just come to my car pump. And it does have a timer thing, so that works perfect. But let's see how many ounces we get in today's pump. My last pump was at 7am It's 10:20pm so we'll see. So this is what we're working with. Let's see if it fits all in here. So let's do it. I'm gonna have to stop this, and then I'll come back to show you how much I did. This one we made.","Back to work ☹️ ehat wearable pumps do you guys like? I could get a better one #backtoworkaftermaternityleave #pumpingatwork #pumpingmama #breastmilk  Hey, y'all, pump with me. I just came back to work yesterday after being out for two months. It was really hard leaving my baby. But you gotta do what you gotta do. This life sucks. But I'm working at three or four different middle schools, so I had to invest in some wearable pumps because I do not want to be pumping in, like, the teachers lounge or anything like that and somebody walk in and, like, you know, I don't want to be asking for a room, like being doing too much. So just come to my car pump. And it does have a timer thing, so that works perfect. But let's see how many ounces we get in today's pump. My last pump was at 7am It's 10:20pm so we'll see. So this is what we're working with. Let's see if it fits all in here. So let's do it. I'm gonna have to stop this, and then I'll come back to show you how much I did. This one we made."
27,aliyahluvsyou-697-81,https://www.tiktok.com/@aliyahluvsyou/video/7079475556009397550,yes,Is this transcript giving advice for caring for a high risk infant?,I bottle and Breast feed with no formula supplements. The pump is a #momcozypump    #nursing #breastfeadingmomma #breastfeedingisnatural #breastfeedingmusthaves #milkpouring #milkstoragebag #milkstoragetips #momsunder25 #pumpingmom #pumpingmama #babyfever,"Okay. I told myself I was gonna try to film some, like, nursing slash breastfeeding videos. So I guess this is me showing just a little bit of my process. My process. But this is milk that I pumped over the night and went ahead and put in the fridge. It is only about like 3 and some ounces. And then this is what I just pumped at 2:15. I'm gonna start trying to do it more. But I am nursing also, so I don't want to overly pump, if that makes sense. I don't even know if that's a thing. But what I do is I put it in this bottle first or a different bottle that has a sealable lid, you know, and then I pour that in. Let's see. And again, not that much, but I will pump later and then also show, I guess, my progression throughout the day. I'm gonna let this get cold and then combine it with this. Because this just came out of the fridge. I just brought it for show. And then I'm going to bag some of it because I put them in about four ounce baggies and I have about three of those. She is a week old today, so. Yeah. I also see why they call it liquid gold. Because this is more milky than it was. It was way. It was even more yellow than this, but good stuff.","I bottle and Breast feed with no formula supplements. The pump is a #momcozypump    #nursing #breastfeadingmomma #breastfeedingisnatural #breastfeedingmusthaves #milkpouring #milkstoragebag #milkstoragetips #momsunder25 #pumpingmom #pumpingmama #babyfever Okay. I told myself I was gonna try to film some, like, nursing slash breastfeeding videos. So I guess this is me showing just a little bit of my process. My process. But this is milk that I pumped over the night and went ahead and put in the fridge. It is only about like 3 and some ounces. And then this is what I just pumped at 2:15. I'm gonna start trying to do it more. But I am nursing also, so I don't want to overly pump, if that makes sense. I don't even know if that's a thing. But what I do is I put it in this bottle first or a different bottle that has a sealable lid, you know, and then I pour that in. Let's see. And again, not that much, but I will pump later and then also show, I guess, my progression throughout the day. I'm gonna let this get cold and then combine it with this. Because this just came out of the fridge. I just brought it for show. And then I'm going to bag some of it because I put them in about four ounce baggies and I have about three of those. She is a week old today, so. Yeah. I also see why they call it liquid gold. Because this is more milky than it was. It was way. It was even more yellow than this, but good stuff."
28,aliyahsymonee-604-32,https://www.tiktok.com/@aliyahsymonee/video/7180966437169663274,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Anybody else enjoy the ASMR sound version? Lol!! #asmrtiktoks #breastfeedingmom #breastfeedingjourney #breastfeedingtok #HolidayOREOke #fyp #foryoupage #makebottleswithme #breastmilk ,Make bottles for the night with it.,Anybody else enjoy the ASMR sound version? Lol!! #asmrtiktoks #breastfeedingmom #breastfeedingjourney #breastfeedingtok #HolidayOREOke #fyp #foryoupage #makebottleswithme #breastmilk  Make bottles for the night with it.
30,allthingsbran-22800-92,https://www.tiktok.com/@allthingsbran/video/7167502617642339630,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Replying to @fucku2bitchh  you can use the dishwasher you just have to be cautious what you wash the bottles with and that the dishes are pre rinsed before hand! I personally do not use the dishwasher anymore though! #newmom #firsttimemom #bottles #sahm #momtips #bottles #birth #newborn   Using the dishwasher to sanitize baby bottles why I do not use the dishwasher how to sanitize baby bottles with dishwasher or by hand washing first time mom tips new mom tips for newborn #greenscreen ,"Okay. If you're a first time mom or new mom, you might be wondering if you can boil your bottles or use a sterilizer or just flat out use the dishwasher. And the answer is yes, you can use the dishwasher. But let me tell you why I do not. If you do want to use your dishwasher, you just want to make sure it has the sanitize option right here. And also you want to get one of these containers that you can put all the little miniature pieces in. That way they don't fall out. Another option that you can do if you don't want to boil your bottles because sometimes if you leave them too long in there, it can ruin them. You get a regular sterilizer like this. Now, the reason that I stopped using my dishwasher after about two or three weeks, we started using the dishwasher and it was a lifesaver and time saving. But let me show you why we don't use it anymore. And yes, we do use the munchkin container for our stuff. And one of the green pieces from our Dr. Brown bottles fell out and melted on the ring where it gets hot to sanitize it and ruined all of our bottles that were in the dishwasher because it got this horrible, horrible plastic smell on all of them. And I was like, this has to be not safe for him. And just out of caution, I asked my fiance to stop on his way home from work and get all new bottles because I was too worried about it. And also we had a wine glass break the same time that the green thing melt, we had a wine glass break and glass went all over the dishwasher too. So you can use a dishwasher, it's just up to you. But ever since this night, I've hand washed them, put them in the sterilizer and then leave them to dry.","Replying to @fucku2bitchh  you can use the dishwasher you just have to be cautious what you wash the bottles with and that the dishes are pre rinsed before hand! I personally do not use the dishwasher anymore though! #newmom #firsttimemom #bottles #sahm #momtips #bottles #birth #newborn   Using the dishwasher to sanitize baby bottles why I do not use the dishwasher how to sanitize baby bottles with dishwasher or by hand washing first time mom tips new mom tips for newborn #greenscreen  Okay. If you're a first time mom or new mom, you might be wondering if you can boil your bottles or use a sterilizer or just flat out use the dishwasher. And the answer is yes, you can use the dishwasher. But let me tell you why I do not. If you do want to use your dishwasher, you just want to make sure it has the sanitize option right here. And also you want to get one of these containers that you can put all the little miniature pieces in. That way they don't fall out. Another option that you can do if you don't want to boil your bottles because sometimes if you leave them too long in there, it can ruin them. You get a regular sterilizer like this. Now, the reason that I stopped using my dishwasher after about two or three weeks, we started using the dishwasher and it was a lifesaver and time saving. But let me show you why we don't use it anymore. And yes, we do use the munchkin container for our stuff. And one of the green pieces from our Dr. Brown bottles fell out and melted on the ring where it gets hot to sanitize it and ruined all of our bottles that were in the dishwasher because it got this horrible, horrible plastic smell on all of them. And I was like, this has to be not safe for him. And just out of caution, I asked my fiance to stop on his way home from work and get all new bottles because I was too worried about it. And also we had a wine glass break the same time that the green thing melt, we had a wine glass break and glass went all over the dishwasher too. So you can use a dishwasher, it's just up to you. But ever since this night, I've hand washed them, put them in the sterilizer and then leave them to dry."
31,alv.flores-839-14,https://www.tiktok.com/@alv.flores/video/7353626734941555998,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,#pumpingatwork #breatfeedingmom #momcozypump #workingmom #boymom ,NA,#pumpingatwork #breatfeedingmom #momcozypump #workingmom #boymom 
32,alyssag_93-1429-68,https://www.tiktok.com/@alyssag_93/video/7217405141035633963,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,"Amazon stop playing me, i gotta pump😭 #momcozy #pumpingmama #exclusivepumping #momsoftiktok #breastmilk #oversupply #fedisbest #overproducer #willowpump #newborn #lactation #pumpingmoms #pumpingatwork #milksupply #amazonwarehouse #amazonplayedme #humanresources #2monthsold #mother #medela #medelasymphony @momcozy @willowpump @medela_official #engorged #engorgementproblems #iamwoman #breastfedbabies ","So Amazon is trying to get me fired pretty much because I need a pump at work. This is over one hour that I take a day, which isn't even a full hour because take like 20 minutes for my first session outside of my break. Between 15, 20 and then 25 minutes from my second break, I'll tell you my break. That's already unpaid. So I don't know what to do. I'm home now and I'm tired. I'm gonna have to go to HR again tomorrow to make sure my hours are fixed because right now I'm negative four hours and I should half hours. It's just a mess. And when you go negative at Amazon for your upt, it's like grounds for termination. But they're taking my UPT when I go pump. And they're supposed to excuse it, but I don't know what the hell they're doing because it's just a shit show. And I'm seasonal right now, so I'm trying to get a regular position and it just doesn't look good. I don't know what to do. It's not like I'm not pumping at work because I'm definitely pumping.","Amazon stop playing me, i gotta pump😭 #momcozy #pumpingmama #exclusivepumping #momsoftiktok #breastmilk #oversupply #fedisbest #overproducer #willowpump #newborn #lactation #pumpingmoms #pumpingatwork #milksupply #amazonwarehouse #amazonplayedme #humanresources #2monthsold #mother #medela #medelasymphony @momcozy @willowpump @medela_official #engorged #engorgementproblems #iamwoman #breastfedbabies  So Amazon is trying to get me fired pretty much because I need a pump at work. This is over one hour that I take a day, which isn't even a full hour because take like 20 minutes for my first session outside of my break. Between 15, 20 and then 25 minutes from my second break, I'll tell you my break. That's already unpaid. So I don't know what to do. I'm home now and I'm tired. I'm gonna have to go to HR again tomorrow to make sure my hours are fixed because right now I'm negative four hours and I should half hours. It's just a mess. And when you go negative at Amazon for your upt, it's like grounds for termination. But they're taking my UPT when I go pump. And they're supposed to excuse it, but I don't know what the hell they're doing because it's just a shit show. And I'm seasonal right now, so I'm trying to get a regular position and it just doesn't look good. I don't know what to do. It's not like I'm not pumping at work because I'm definitely pumping."
33,amandamlee_-14500-57,https://www.tiktok.com/@amandamlee_/video/7234521469168946438,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Just a few reminders: frozen milk has to be used within 24 hours of it being fully defrosted and once the bottle comes out of the fridge Or is heated use it within 1-2 hours and NEVER put leftover milk back in the fridge for later . #momsoftiktok #firsttimemom #girlmom #oversupplymom #oversupplier #exclusivepumping #pumpingmom #pitchermethod #pumpingmama #makebottleswithme #makebottles #newborntips #newbornadvice ,"Make some nighttime bottles with me. So these are for like 9pm midnight, three in the morning, and like six in the morning or like whenever she wakes up around those times. This is the milk from my freezer stash that I take out in the morning so that it's defrosted by the evening. And her daytime bottles are always made with the fresh milk I collected the day before, using the pitcher method. So she's drinking around 32 to 34 ounces a day. So I always take out 12 to 16 ounces from the freezer stash just. Just so that I'm rotating through it properly every time I add new milk to the freezer. That last bottle is being made with milk that I just pumped because Tik Tok taught me that your night milk has more melatonin, which is better for sleep. So that's the bottle I give her around 9 or 10pm I haven't really noticed it making her sleep longer, but we will keep trying. And a friend of mine told me to make sure I give her some of the freezer milk early, because sometimes you have all this milk and then when you try to give it to your baby, they won't take it.","Just a few reminders: frozen milk has to be used within 24 hours of it being fully defrosted and once the bottle comes out of the fridge Or is heated use it within 1-2 hours and NEVER put leftover milk back in the fridge for later . #momsoftiktok #firsttimemom #girlmom #oversupplymom #oversupplier #exclusivepumping #pumpingmom #pitchermethod #pumpingmama #makebottleswithme #makebottles #newborntips #newbornadvice  Make some nighttime bottles with me. So these are for like 9pm midnight, three in the morning, and like six in the morning or like whenever she wakes up around those times. This is the milk from my freezer stash that I take out in the morning so that it's defrosted by the evening. And her daytime bottles are always made with the fresh milk I collected the day before, using the pitcher method. So she's drinking around 32 to 34 ounces a day. So I always take out 12 to 16 ounces from the freezer stash just. Just so that I'm rotating through it properly every time I add new milk to the freezer. That last bottle is being made with milk that I just pumped because Tik Tok taught me that your night milk has more melatonin, which is better for sleep. So that's the bottle I give her around 9 or 10pm I haven't really noticed it making her sleep longer, but we will keep trying. And a friend of mine told me to make sure I give her some of the freezer milk early, because sometimes you have all this milk and then when you try to give it to your baby, they won't take it."
34,amarismommaa-1710-51,https://www.tiktok.com/@amarismommaa/video/7148457180176420102,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,would you believe that after this i knocked over the bottle and spilled 2oz🙃 #lactationcookies #momsoftiktok #boymom #breastfeedingmom #breastfeeding #boymomlife #breastfeadingmomma #milksupply #pumpwithme #momlife #milkstorage #pregnancytiktok ,NA,would you believe that after this i knocked over the bottle and spilled 2oz🙃 #lactationcookies #momsoftiktok #boymom #breastfeedingmom #breastfeeding #boymomlife #breastfeadingmomma #milksupply #pumpwithme #momlife #milkstorage #pregnancytiktok 
36,ambitious_angie-1206-160,https://www.tiktok.com/@ambitious_angie/video/7246989490676321578,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,"A blast from the past, way back when I had like 40 followers 😂 manifesting this type of supply for future journeys 🤞🏽 #onthisday #flashback #pumptok #milktok #breastmilkstorage #milkbricks #milkstorage #milkstoragetip #pitchermethod #pitcherpour #oversupplymom #pumpingmama #exclusivepumping #pumpingisbreastfeedingtoo #nightlyroutine #fyp #milkchores #freezerstash ",NA,"A blast from the past, way back when I had like 40 followers 😂 manifesting this type of supply for future journeys 🤞🏽 #onthisday #flashback #pumptok #milktok #breastmilkstorage #milkbricks #milkstorage #milkstoragetip #pitchermethod #pitcherpour #oversupplymom #pumpingmama #exclusivepumping #pumpingisbreastfeedingtoo #nightlyroutine #fyp #milkchores #freezerstash "
39,amy_motherhoodandlife-259-41,https://www.tiktok.com/@amy_motherhoodandlife/video/7327087214347717920,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Top tip for getting the air out your milk storage bags! 🍼 #milkstorage #milkstoragetips #milkstoragebag #baby #babytips,"Hi. I just wanted to share something that I've just seen on Instagram and I've tried it and it's amazing. And it's when you've got your milk bag and you want to make sure the air's out, I was trying to kind of push it up like this. If you go in your kitchen, pinch it just above where your milk is, lay it on the kitchen top, lay it flat, and then press it down. Now beat careful, because if it slips, this is going to go all over the floor. Squeezes all the air out. You're welcome.","Top tip for getting the air out your milk storage bags! 🍼 #milkstorage #milkstoragetips #milkstoragebag #baby #babytips Hi. I just wanted to share something that I've just seen on Instagram and I've tried it and it's amazing. And it's when you've got your milk bag and you want to make sure the air's out, I was trying to kind of push it up like this. If you go in your kitchen, pinch it just above where your milk is, lay it on the kitchen top, lay it flat, and then press it down. Now beat careful, because if it slips, this is going to go all over the floor. Squeezes all the air out. You're welcome."
40,ana714_smiles-496-73,https://www.tiktok.com/@ana714_smiles/video/7303436646328962350,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Now I just need to find a place to pump at work🥲 #pumptok #exclusivelypumpingmom #exclusivelypumping #oversupplier #oversupply #oversupply #momtok #momsoftiktok #firsttimemom #foryoupage #workingmomslife  #workingmom #pumpingatwork #pumpingatworkproblems  #milkoversupply #fyp #spectrapump #spectra #spectras2 #pumpingmom #ncvi #ncvipump #bioboo #bioboobreastpump @Spectra Baby USA @NCVI_official @BIOBOO ,NA,Now I just need to find a place to pump at work🥲 #pumptok #exclusivelypumpingmom #exclusivelypumping #oversupplier #oversupply #oversupply #momtok #momsoftiktok #firsttimemom #foryoupage #workingmomslife  #workingmom #pumpingatwork #pumpingatworkproblems  #milkoversupply #fyp #spectrapump #spectra #spectras2 #pumpingmom #ncvi #ncvipump #bioboo #bioboobreastpump @Spectra Baby USA @NCVI_official @BIOBOO 
